"","week","state","incidence","inc_factor"
"264",2020-04-05,"Indiana",36.6892402044556,"25-50"
"265",2020-04-05,"Iowa",6.33900357202851,"1-10"
"266",2020-04-05,"Kansas",12.0138097026273,"10-25"
"267",2020-04-05,"Kentucky",12.0868290942511,"10-25"
"268",2020-04-05,"Louisiana",85.3984925982954,">75"
"269",2020-04-05,"Maine",6.69537245613043,"1-10"
"270",2020-04-05,"Maryland",32.7506583213137,"25-50"
"271",2020-04-05,"Massachusetts",97.2070668667101,">75"
"272",2020-04-05,"Michigan",106.23963074669,">75"
"273",2020-04-05,"Minnesota",7.62461096752412,"1-10"
"274",2020-04-05,"Mississippi",29.2324073828293,"25-50"
"275",2020-04-05,"Missouri",15.3158619538999,"10-25"
"276",2020-04-05,"Montana",0,"0"
"277",2020-04-05,"Nebraska",4.65258621759215,"1-5"
"278",2020-04-05,"Nevada",21.7521450212262,"10-25"
"279",2020-04-05,"New Hampshire",10.2963056120014,"10-25"
"280",2020-04-05,"New Jersey",150.976279498637,">75"
"281",2020-04-05,"New Mexico",4.29219550092068,"1-5"
"282",2020-04-05,"New York",180.840926758859,">75"
"283",2020-04-05,"North Carolina",5.62543168037174,"1-10"
"284",2020-04-05,"North Dakota",5.24891675480473,"1-10"
"285",2020-04-05,"Ohio",12.4047189261791,"10-25"
"286",2020-04-05,"Oklahoma",13.3940835047818,"10-25"
"287",2020-04-05,"Oregon",5.92734919223271,"1-10"
"288",2020-04-05,"Pennsylvania",27.9644045936924,"25-50"
"289",2020-04-05,"Rhode Island",50.9741249677872,"50-75"
"290",2020-04-05,"South Carolina",10.4880558523934,"10-25"
"291",2020-04-05,"South Dakota",4.52151620002735,"1-5"
"292",2020-04-05,"Tennessee",7.46796025405122,"1-10"
"293",2020-04-05,"Texas",6.93201906850149,"1-10"
"294",2020-04-05,"Utah",3.11919245355055,"1-5"
"295",2020-04-05,"Vermont",8.01296176695423,"1-10"
"296",2020-04-05,"Virginia",9.13828438551891,"1-10"
"297",2020-04-05,"Washington",23.7692112023111,"10-25"
"298",2020-04-05,"West Virginia",2.23195976669325,"1-5"
"299",2020-04-05,"Wisconsin",13.9117077153644,"10-25"
"300",2020-04-05,"Wyoming",0,"0"
"301",2020-04-12,"Alabama",17.9475177869079,"10-25"
"302",2020-04-12,"Alaska",0,"0"
"303",2020-04-12,"Arizona",9.47969264363486,"1-10"
"304",2020-04-12,"Arkansas",4.63913494713374,"1-5"
"305",2020-04-12,"California",13.4894966552502,"10-25"
"306",2020-04-12,"Colorado",23.7899427930018,"10-25"
"307",2020-04-12,"Connecticut",166.045538549912,">75"
"308",2020-04-12,"Delaware",34.9160576895428,"25-50"
"309",2020-04-12,"Florida",14.0610717041558,"10-25"
"310",2020-04-12,"Georgia",22.4159854985527,"10-25"
"311",2020-04-12,"Hawaii",0,"0"
"312",2020-04-12,"Idaho",9.51280451466511,"1-10"
"313",2020-04-12,"Illinois",45.9286790746176,"25-50"
"314",2020-04-12,"Indiana",39.6600288849783,"25-50"
"315",2020-04-12,"Iowa",12.678007144057,"10-25"
"316",2020-04-12,"Kansas",10.9840545852593,"10-25"
"317",2020-04-12,"Kentucky",11.1915084206029,"10-25"
"318",2020-04-12,"Louisiana",99.1655039995319,">75"
"319",2020-04-12,"Maine",9.67109354774396,"1-10"
"320",2020-04-12,"Maryland",47.3065064641198,"25-50"
"321",2020-04-12,"Massachusetts",164.236417452412,">75"
"322",2020-04-12,"Michigan",103.736340672546,">75"
"323",2020-04-12,"Minnesota",9.57509284293727,"1-10"
"324",2020-04-12,"Mississippi",31.9204448433193,"25-50"
"325",2020-04-12,"Missouri",15.4787966555371,"10-25"
"326",2020-04-12,"Montana",3.74259200694625,"1-5"
"327",2020-04-12,"Nebraska",5.68649426594596,"1-10"
"328",2020-04-12,"Nevada",13.9603318792944,"10-25"
