,submission_date,state,new_death,week
642,2020-07-23,Delaware,0.0,21
643,2020-05-01,Washington,10.0,9
644,2021-05-10,Montana,0.0,63
645,2020-06-02,Missouri,4.0,14
646,2020-09-29,New Jersey,190.0,31
647,2020-11-23,Oregon,6.0,39
648,2021-03-21,Minnesota,5.0,56
649,2021-05-19,Vermont,1.0,64
650,2021-04-29,New Hampshire,5.0,61
651,2020-11-25,Idaho,21.0,39
652,2020-07-15,Montana,0.0,20
653,2021-02-04,North Carolina,52.0,49
654,2020-10-02,Michigan,11.0,31
655,2021-02-19,Oregon,0.0,51
656,2020-05-23,Vermont,0.0,12
657,2020-07-05,Michigan,6.0,19
658,2020-09-15,Mississippi,10.0,29
659,2020-06-13,Idaho,0.0,15
660,2020-06-23,Arizona,42.0,17
661,2020-11-27,Delaware,2.0,39
662,2020-09-25,Idaho,1.0,30
663,2020-07-18,Maine,0.0,20
664,2020-07-25,Wisconsin,13.0,21
667,2020-07-31,Kentucky,4.0,22
668,2020-03-25,Oregon,2.0,4
670,2020-08-11,Mississippi,29.0,24
671,2020-03-06,New Jersey,0.0,1
672,2020-05-11,Vermont,0.0,11
673,2021-04-19,Delaware,0.0,60
674,2021-05-22,Maine,1.0,64
677,2020-07-28,Montana,5.0,22
679,2021-05-29,Maine,0.0,65
680,2021-03-12,Minnesota,13.0,54
681,2021-03-12,New Jersey,40.0,54
682,2020-06-29,Wisconsin,0.0,18
684,2020-07-27,New Hampshire,0.0,22
685,2020-06-03,Arizona,40.0,14
687,2020-04-19,Illinois,31.0,8
688,2020-05-10,Nebraska,2.0,11
689,2020-09-17,New Hampshire,0.0,29
690,2020-09-15,Rhode Island,2.0,29
692,2020-11-11,North Carolina,30.0,37
693,2021-04-21,Nevada,11.0,60
694,2020-03-07,Minnesota,0.0,1
696,2020-03-31,Rhode Island,2.0,5
697,2020-03-17,Missouri,0.0,3
698,2020-08-16,Rhode Island,7.0,25
700,2020-03-13,Wisconsin,0.0,2
701,2021-02-16,Indiana,33.0,51
702,2020-08-04,New Jersey,11.0,23
703,2020-11-27,Michigan,117.0,39
704,2021-06-06,Wisconsin,0.0,67
705,2021-01-09,Vermont,0.0,45
706,2020-11-23,California,104.0,39
707,2020-05-07,Maine,0.0,10
708,2021-02-18,Vermont,2.0,51
709,2020-07-05,Kentucky,0.0,19
710,2020-11-07,South Carolina,13.0,36
713,2020-08-29,Nebraska,0.0,26
714,2021-03-21,Idaho,0.0,56
716,2021-03-26,Idaho,0.0,56
717,2020-03-31,Washington,0.0,5
718,2020-12-04,Idaho,18.0,40
719,2020-04-03,Washington,23.0,5
721,2020-03-15,South Carolina,0.0,3
722,2021-03-28,Idaho,0.0,57
724,2020-11-12,Nevada,3.0,37
725,2020-12-19,Washington,0.0,42
726,2020-12-26,North Carolina,875.0,43
727,2020-12-31,Virginia,49.0,44
728,2020-03-14,California,1.0,2
729,2020-06-02,Indiana,20.0,14
730,2020-08-14,New Jersey,10.0,24
731,2021-05-08,Minnesota,8.0,62
732,2021-01-22,North Carolina,90.0,47
733,2020-11-19,Maryland,16.0,38
735,2020-08-03,North Dakota,2.0,23
736,2021-05-25,Mississippi,4.0,65
737,2020-12-27,New Hampshire,7.0,44
738,2020-05-22,Indiana,43.0,12
739,2020-08-20,North Dakota,2.0,25
740,2020-06-24,Virginia,14.0,17
741,2021-02-03,North Carolina,58.0,49
743,2021-05-31,Delaware,0.0,66
744,2020-05-15,Wyoming,0.0,11
745,2020-09-13,Kentucky,3.0,29
746,2021-04-03,Wyoming,0.0,57
747,2021-04-18,Virginia,14.0,60
748,2020-09-01,Delaware,0.0,27
749,2020-03-14,Illinois,0.0,2
751,2020-04-03,Missouri,13.0,5
752,2021-05-06,North Carolina,13.0,62
753,2020-08-12,Louisiana,48.0,24
754,2021-03-30,Illinois,15.0,57
756,2021-05-18,North Carolina,6.0,64
757,2020-11-18,Alabama,20.0,38
758,2020-09-02,Washington,4.0,27
760,2021-02-09,Louisiana,20.0,50
761,2020-08-11,New Jersey,12.0,24
763,2020-04-18,Missouri,8.0,7
764,2020-07-13,Minnesota,6.0,20
765,2021-06-04,California,87.0,66
768,2020-09-28,Washington,0.0,31
770,2021-02-13,Kentucky,19.0,50
772,2020-09-24,New Hampshire,0.0,30
773,2020-11-09,Illinois,25.0,37
774,2020-04-13,New Hampshire,0.0,7
776,2021-01-18,New Hampshire,0.0,47
777,2020-07-04,Rhode Island,2.0,18
778,2021-04-02,North Carolina,10.0,57
779,2020-09-17,New Jersey,3.0,29
780,2020-10-20,Michigan,29.0,34
782,2021-03-14,Maine,1.0,55
783,2020-08-22,Louisiana,0.0,25
784,2021-05-24,Nebraska,1.0,65
785,2020-08-03,South Carolina,39.0,23
786,2021-02-20,Michigan,20.0,51
787,2020-11-27,California,109.0,39
788,2020-12-21,Wisconsin,8.0,43
789,2020-12-15,New Jersey,97.0,42
790,2020-09-21,Rhode Island,2.0,30
791,2020-11-17,North Carolina,36.0,38
792,2021-01-18,Maine,5.0,47
793,2020-09-19,Minnesota,13.0,29
794,2020-03-05,New Hampshire,0.0,1
795,2020-04-08,Arizona,7.0,6
796,2020-07-31,Wyoming,0.0,22
797,2021-05-24,Vermont,0.0,65
798,2020-03-07,Maryland,0.0,1
799,2020-05-18,Kentucky,12.0,12
800,2020-06-05,Wyoming,0.0,14
801,2020-06-28,Nebraska,0.0,18
802,2021-04-18,New Jersey,9.0,60
803,2021-06-02,Alabama,0.0,66
805,2020-03-22,Delaware,0.0,4
806,2020-12-24,Louisiana,46.0,43
808,2020-06-26,Oregon,5.0,17
809,2020-08-06,Washington,29.0,23
810,2021-03-01,Maryland,11.0,53
811,2021-05-14,Maine,3.0,63
812,2020-10-21,Virginia,9.0,34
813,2020-09-15,Montana,2.0,29
815,2020-05-15,Nevada,15.0,11
817,2020-05-06,Oregon,2.0,10
818,2020-08-01,South Carolina,33.0,22
820,2021-04-09,South Carolina,13.0,58
822,2021-04-26,Maryland,22.0,61
823,2020-05-28,New Jersey,62.0,13
824,2020-09-17,Connecticut,1.0,29
826,2020-11-18,Indiana,86.0,38
827,2020-07-26,Virginia,4.0,22
828,2020-05-16,Vermont,0.0,11
829,2020-09-19,Missouri,24.0,29
